"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"410","Biondi","Alessandra","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderätin, Fraktion SP;
Volkshausstiftung Frauenfeld: Vizepräsidentin","01.01.2025 -"
"336","Dätwyler Weber","Barbara","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","SBK-ASI Schweizer Berufsverband der Pflegefachfrauen und Pflegefachmänner Bern: Zentralvorstand, Mitglied; 

Personal Thurgau Frauenfeld: Vorstand, Präsidentin;

PG Frauenfeld: Stadtrat, Vizestadtpräsidentin; 

SP Thurgau: Geschäftsleitung, Mitglied;

Perspektive Thurgau Weinfelden: Vorstand, Mitglied;

Schloss Herdern: Betriebskommission, Mitglied;

PMS Kreuzlingen: Beirat, Mitglied","01.01.2025 -"
"336","Dätwyler Weber","Barbara","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Stadträtin, Mitglied;

SP Thurgau: Geschäftsleitung, Mitglied","01.01.2025 -"
"402","Amrhein","Daniel","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Amrhein Facility GmbH, Balterswil: Inhaber;
Bernath Haustechnik GmbH: Geschäftsführer","01.01.2025 -"
"402","Amrhein","Daniel","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","","01.01.2025 -"
"303","Ammann","Reto","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","SBW Haus des Lernens AG, Romanshorn: Verwaltungsratspräsident, CEO; 
SBW HdL AG, Romanshorn: Verwaltungsratspräsident; 
Brunnegg Idea AG, Kreuzlingen: Verwaltungsratspräsident; 
Seelab AG, Kreuzlingen: Verwaltungsratspräsident; 
SBW Services AG: Verwaltungsratspräsident; 
International School Neustadt GmbH, Neustadt (D): Gesellschafter, Geschäftsführer; 
International School Westpfalz GmbH, Landstuhl (D): Gesellschafter, Geschäftsführer; 
Jules Vernes Campus gGmbH und Service GmbH München: Gesellschafter, Mitglied; 
International School Ruhr, Essen: Gesellschafter; 
Fortuna Sora GmbH: Gesellschafter;
Coubertin meets Dunant Foundation: Stiftungsratspräsident; 
Crescere Stiftung Thurgau; des. Stiftungsratspräsident 
Sportstiftung Thurgau: Stiftungsrat, Mitglied; 
NAT Netzwerk Asyl Thurgau: Mitglied","01.01.2025 -"
"303","Ammann","Reto","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Förderverein Projekte für den Thurgau: Beirat, Mitglied","01.01.2025 -"
"422","Leu","Thomas","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","einziger VR, Verwaltungsrat: Junato AG, Kreuzlingen;

VR-Mitglied, Verwaltungsrat: Kierzek AG, Kreuzlingen;

einziger GF, Geschäftsleitung: Leucon GmbH, Kreuzlingen;

Präsident, HEV Region Kreuzlingen, Kreuzlingen;

Aktuar, HEV Thurgau, Kreuzlingen;

Präsident des Verwaltungsrates, Pro Dampfer AG, Mammern","01.01.2025 -"
"391","Wittwer","Marcel","EDU/Aufrecht","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Wittwer Fispo GmbH: Geschäftsleitungsmitglied;
EDU Thurgau: Geschäftsleitungsmitglied, Vizepräsident; 
EDU Bezirk Arbon: Bezirkspräsident","01.01.2025 -"
"391","Wittwer","Marcel","EDU/Aufrecht","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EDU Schweiz: Revisor; JEDU Schweiz: Vize-präsident; EDU Thurgau: Geschäftsleitungsmitglied, Vizepräsident; EDU Bezirk Arbon: Bezirkspräsident","01.01.2025 -"
"363","Martin","Oliver","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Martin Confiserie AG, Leimbach, Geschäftsführer Verwaltungsratspräsident

Martin Group AG, Inhaber, Geschäftsführer

Frima Immobilien GmbH, Inhaber, Geschäftsführer","01.01.2025 -"
"363","Martin","Oliver","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Ortspartei Bürglen, Präsident","01.01.2025 -"
"390","Schildknecht","Benno","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Region Amriswil, Präsident","01.01.2025 -"
"395","Stutz","Raphael","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Murg AG, Verwaltungsrat: Präsident;
Genesis Solutions AG, Verwaltungsrat: Präsident;
CRSS Immo AG, Verwaltungsrat: Präsident;
EKT Energiestiftung, Stiftungsrat: Mitglied;
EW Sirnach AG, Verwaltungsrat: Mitglied","01.01.2025 -"
"302","Möckli","Gottfried","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Möckli Festbedarf GmbH, Inhaber.","01.01.2025 -"
"337","Eugster","Franz","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Bischofszell und Umgebung: Vorstand, Präsident","01.01.2025 -"
"428","Schönegger","Traudi","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Gemeinde Sirnach: Fürsorgekommission, Mitglied ","21.05.2026 -"
"152","Wohlfender-Oertig","Edith","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Dravet Suisse, Präsidentin;

SGGP Ostschweiz, Vorstandsmitglied","01.01.2025 -"
"152","Wohlfender-Oertig","Edith","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Referenzfunktionenkommission Kanton St. Gallen, Mitglied","01.01.2025 -"
"430","Sigrist","Andreas","EDU/Aufrecht","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Regionalleiter: ACC, Zürich","01.01.2025 -"
"398","Stieger","Roger","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Blaues Kreuz TG/SH, Weinfelden: Geschäftsführer;

EVP Bezirk, Weinfelden: Co. Präsident","01.01.2025 -"
"305","Bühler","Peter","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Trionfini Satz, Druck, Verlag AG, Altnau: Verwaltungsrat, Mitglied; 
Yolo Sport Management GmbH, Weinfelden: Mitinhaber, CEO;
Finanzverantwortlicher Sportstiftung Thurgau, Romanshorn: Stiftungsrat, Mitglied;","01.01.2025 -"
"305","Bühler","Peter","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Aadorf: Vorstandsmitglied;
Die Mitte Bichelsee-Balterswil: Vorstandsmitglied;
AWG Thurgau, Tägerwilen: Vorstandsmitglied","01.01.2025 -"
"411","Brenner","Martin","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Martin Brenner Organisation, Weinfelden: Geschäftsführer und Inhaber","01.01.2025 -"
"411","Brenner","Martin","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadt Weinfelden: Stadtrat, Ressort Hochbau;

FDP Weinfelden: Vorstand, Vizepräsident","01.01.2025 -"
"437","Wolfer","Stefan","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Ratsmitglied, Stadtparlament Weinfelden","01.01.2025 -"
"355","Bachmann","Eveline","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verband Thurgauer Landwirtschaft, Weinfelden: Vorstand, Mitglied","01.01.2025 -"
"419","Haldemann","Peter","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Vizepräsident, Vorstand: FRK am Untersee, Ermatingen

Mitglied, Vorstand: VTL, Weinfelden","01.01.2025 -"
"419","Haldemann","Peter","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Mitglied Gemeinderat Raperswilen","01.01.2025 -"
"199","Lei","Hermann","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Genossenschaft Messen, Weinfelden: Verwaltungsrat, Vizepräsident; 

„Schweizerzeit“ Verlags AG, Flaach: Verwaltungsrat, Präsident; 

Schweizerzeit-Stiftung, Zug; Stiftungsrat, Mitglied;","01.01.2025 -"
"345","Engeli-Sager","Brigitta","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein \"Die Arche Schweiz\", Kreuzlingen: Vorstand, Präsidentin","01.01.2025 -"
"345","Engeli-Sager","Brigitta","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Sekundarschulbehörde Kreuzlingen: Vorstand, Mitglied","01.01.2025 -"
"290","Rickenbach","Elisabeth","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Spitex Region Müllheim, Bildungsverantwortliche;

Stiftung Kanzler, Mitglied Stiftungsrat","01.01.2025 -"
"290","Rickenbach","Elisabeth","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EVP TG: Parteileitung, Vorstand, Mitglied;

EVP Frauenfeld: Präsidentin, Mitglied;

Evang. Kirchgemeinde Thunbachtal: Mitglied RPK","01.01.2025 -"
"316","Peter Köstli","Sabina","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Perspektive Thurgau, Frauenfeld: Vorstand, Präsidentin; 

Gemeinde Hüttwilen (Körperschaft des öffentlichen Rechts) Präsidentin

Berufsbeistandschaft Frauenfeld Land (Körperschaft des öffentlichen Rechts) Mitglied, Ausschuss

Stiftung Seebachtal (Stiftung) Mitglied, Stiftungsrat

OST - Ostschweizer Fachhochschule (Körperschaft des öffentlichen Rechts) Mitglied, Beirat

Pro Wind Thurgau (Verein) Mitglied, Vorstand","01.01.2025 -"
"316","Peter Köstli","Sabina","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Hüttwilen: Gemeindepräsidentin","01.01.2025 -"
"325","Walther","René","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","GOS Handels AG, Romanshorn: Verwaltungsrat, Mitglied; Stiftung Mansio, Münsterlingen: Stiftungsrat, Mitglied; Wohnbaugenossenschaft Tempelacker, Münsterlingen: Vorstand, Präsident.","01.01.2025 -"
"325","Walther","René","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadt Arbon: Stadtpräsident; Regionalplanungsgruppe Kreuzlingen: Präsident; Agglomerationsprogramm Kreuzlingen/Konstanz: Vorstand","01.01.2025 -"
"325","Walther","René","FDP","Unvereinbarkeit GR (KV § 29 Abs. 2)","BZWW Weinfelden: Studienleitung und Verwaltungsökonom TG (50 Jahres-lektionen, 3% Jahres-pensum)","01.01.2025 -"
"433","Strähl-D’Ambrosio","Raffaella","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Gemeindepräsidentin: Gemeinde Kemmental","01.01.2025 -"
"307","Eschenmoser","Hans","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtrat, Mitglied","01.01.2025 -"
"284","Rüegg","Jost","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kreuzlingen: Gemeinderat, Mitglied","01.01.2025 -"
"283","Auer","Jacob","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Arbon: Stadtparlament, Mitglied; UNIA Region OS-GR: Präsident","01.01.2025 -"
"426","Nikolic-Fuss","Sandrine","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Arbeitnehmervertreter: SUVA, Luzern

Präsidentin, Vorstand: kapers, Kloten

Mitglied, Vorstand: SGB, Bern

Vize-Präsidentin, Zivile Luftfahrt: ETF, Brüssel","01.01.2025 -"
"282","Feuerle","Didi","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Arbon Energie AG, Arbon: Verwaltungsrat, Vizepräsident; Abwasserverband Morgental, Arbon: Betriebskommission, Präsident; Schreinerei Dieter Feuerle, Arbon: Inhaber.","01.01.2025 -"
"282","Feuerle","Didi","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Arbon: Stadtrat, Vizepräsident; 

GRÜNE Thurgau: Vorstand, Mitglied; 

GRÜNE Bezirk Arbon: Vorstand, Präsident; 

GRÜNE Arbon: Vorstand, Mitglied;","01.01.2025 -"
"407","Stump","Beat","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Ortspartei Erlen und Umgebung; Präsident

SVP Schweiz; Vorstandsmitglied","01.01.2025 -"
"28","Gemperle","Josef","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","EKT Holding AG: Verwaltungsrat, Mitglied","01.01.2025 -"
"231","Pretali","Beat","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Mayer Immobilien AG, Weinfelden: Verwaltungsrat, Präsident; Raiffeisenbank Regio, Altnau: Verwaltungsrat, Mitglied; Internationales Bodensee-Schifffahrtsmuseum e.V., Friedrichshafen (D): Vorstand, Mitglied.","01.01.2025 -"
"231","Pretali","Beat","FDP","Unvereinbarkeit GR (KV § 29 Abs. 2)","BZW Weinfelden: Dozent Weiterbildung (< 10%)","01.01.2025 -"
"328","Bruggmann","Marina","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Geschäftsführerin Palliative Ostschweiz
Co-Geschäftsführerin Hospizdienst Thurgau","01.01.2025 -"
"328","Bruggmann","Marina","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Co-Parteipräsidentin SP Thurgau
PG Salmsach: Vize-Gemeindepräsidentin","01.01.2025 -"
"348","Wyss","Roland","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Roland Wyss Bauleitungen GmbH, Frauenfeld: Gesellschafter, Geschäftsführer; Verein Wohnheim Adler, Frauenfeld: Vorstand, Vizepräsident; Genossenschaft Guggenhürli, Frauenfeld: Vorstand, Mitglied; Bürgergemeinde Frauenfeld: Verwaltungsrat,Stiftungsrat.","01.01.2025 -"
"348","Wyss","Roland","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderat, Mitglied","01.01.2025 -"
"264","Leuthold","Stefan","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","PG Frauenfeld, Stadtrat, Mitglied;
ProWind Thurgau, Hüttwilen: Vorstand, Mitglied; 
Verein Geothermie Thurgau, Münchwilen: Vorstand, Mitglied;
effekt marketing gmbh, Frauenfeld: Inhaber","01.01.2025 -"
"264","Leuthold","Stefan","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","GLP Thurgau: Präsident; 

GLP Bezirk Frauenfeld: Vorstand, Mitglied","01.01.2025 -"
"332","Imhof","Kilian","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Katholische Landeskirche: 

Synode, Mitglied","01.01.2025 -"
"308","Hasler-Roost","Cornelia","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Sunnyside Trading GmbH, Inhaberin und Geschäftsführerin","01.01.2025 -"
"308","Hasler-Roost","Cornelia","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Murg Stiftung: Stiftungsrätin","01.01.2025 -"
"381","Rüegg","Marco","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","De Lorean Power GmbH, Gachnang: Inhaber; Fairpower AG, Bülach: Verwaltungsrat, Präsident; MW Storage AG, Zug: Geschäftsleitung, Mitglied; Solargenossenschaft Frauenfeld: Vorstand, Präsident.","01.01.2025 -"
"343","Pasche-Strasser","Corinna","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Pro Senectute Thurgau, Weinfelden: Stiftungsrätin; 
Katholischen Landeskirche Thurgau, Weinfelden: Kirchenrätin; 
TSME Thurgauisch-Schaffhauserische Maturitätsschule für Erwachsene, Frauenfeld: Mitglied der Aufsichtskommission
VTGS - Verband Thurgauer Schulgemeinden, Amriswil: Vorstandsmitglied","01.01.2025 -"
"114","Tobler","Stephan","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Espace Suisse NO, St. Gallen: Vorstand, Vizepräsident; 
Oberthurgau Immobilien AG, Amriswil: Verwaltungsrat, Vizepräsident; 
Metropole CH, Zürich: Vorstand, Mitglied; 
Schloss Luxburg AG: Verwaltungsrat, Präsident;
Volksschulgemeinde Egnach: Rechnungs- und Geschäftsprüfungskommission, Mitglied","01.01.2025 -"
"114","Tobler","Stephan","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Thurgau: Mitglied; 
SVP Bezirk Arbon: Vorstand, Mitglied; 
SVP Ortspartei Egnach: Revisor","01.01.2025 -"
"315","Opprecht","Andreas","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein AachThurLand, Sulgen: Vorstand, Kassier; Verein Berufsbeistandschaft Region Bischofszell: Vorstand, Mitglied; Betriebskommission Abwasserverband Mittelthurgau, Weinfelden: Vorstand, Vizepräsident; Betriebskommission Abwasserverband Aachtal, Amriswil: Vorstand, Mitglied; Verband Thurgauische Elektrizitätsversorgungsunter-nehmen: Vorstand, Vizepräsident; Ärztezentrum AachThurLand: Verwaltungsrat, Vizepräsident","01.01.2025 -"
"315","Opprecht","Andreas","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Sulgen: Gemeindepräsident","01.01.2025 -"
"431","Sontheim","Marion","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Mitglied der Geschäftsleitung, Ausbildungsleiterin: IG Spielgruppen Schweiz GmbH, Uster","01.01.2025 -"
"431","Sontheim","Marion","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Gemeinderat Bottighofen, Ressort Soziales","01.01.2025 -"
"429","Senn-Bieri","Ursula","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Mitglied, Verwaltungsrat: Genossenschaft Alterszentrum Weinfelden, Weinfelden

Mitglied, Vorstand: Verein für Jugend und Freizeit, Weinfelden","01.01.2025 -"
"429","Senn-Bieri","Ursula","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Mitglied, Stadtrat: PG Weinfelden

Mitglied, Vorstand: SP Bezirk Weinfelden

Mitglied (bis 31.12.2024): Synode Evangelische Landeskirche Thurgau","01.01.2025 -"
"384","Strähl","Michèle","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","P. Strähl Beteiligungen AG, Weinfelden: Verwaltungsrat, Mitglied; 
Stiftung Hofacker, Weinfelden: Stiftungsrat, Mitglied; 
Thurgauisch-Schaffhauserische Maturitätsschule für Erwachsene (TSME), Frauenfeld: Aufsichtskommission, Mitglied; 
Strähl Käse AG: Verwaltungsrat, Mitglied;
Agro Marketing Thurgau AG: Verwaltungsrat, Mitglied;
Thurgauer Gewerbeverband: Vorstand, Mitglied","01.01.2025 -"
"384","Strähl","Michèle","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadtparlament Weinfelden, Mitglied.","01.01.2025 -"
"434","Sturzenegger","Manuel","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Gewerbliches Bildungszentrum Weinfelden, Präsident Berufsfachschulkommission;
Umraum Landschaftsarchitektur GmbH, Weinfelden, Gesellschafter und Geschäftsführer;
Verein Jagd Thurgau, Präsident
","01.01.2025 -"
"434","Sturzenegger","Manuel","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadtparlament Weinfelden, Mitglied","01.01.2025 -"
"420","Hugentobler","Fabrizio","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Stiftungsrat: Stiftung Vita Parcours, Zürich

Mitglied, Vorstand: GSK Gesellschaft Schweiz. Kunsteisbahnen, Bever","01.01.2025 -"
