"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"102","Stokholm","Anders","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Stadtrat, Präsident;

FDP Thurgau: Vorstand, Mitglied;

Schweizerischer Städteverband: Vorstand, Präsident;

Metropolitanrat Metoropolitanregion Zürich: Vorstand, Präsident.","01.01.2025 -"
"335","Pagnoncini","Christina","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Regionalplanungsgruppe Kreuzlingen: Vorstand, Mitglied.","01.01.2025 -"
"335","Pagnoncini","Christina","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kemmental: Gemeindepräsidentin","01.01.2025 -"
"313","Kuhn","Petra","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","WEGA Messe AG, Weinfelden: Verwaltungsrat, Mitglied; Kompetenz-Zentrum Erneuerbare Energie-Systeme Thurgau KEEST, Münchwilen: Vorstand, Mitglied.","01.01.2025 -"
"313","Kuhn","Petra","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Bezirk Kreuzlingen: Vorstand, Mitglied; SVP Tägerwilen: Vorstand, Mitglied","01.01.2025 -"
"299","Kaufmann","Brigitte","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","EKT Energiestiftung: Mitglied; Berufsfachschulkommission Bildungszentrum für Wirtschaft Weinfelden: Präsidentin","01.01.2025 -"
"441","Abegg","Freddy ","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Gastro Thurgau: Vizepräsident","01.01.2025 -"
"321","Stark","Hans","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kradolf-Schönenberg: Gemeinderat, Mitglied","01.01.2025 -"
"383","Stähelin","Beda","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Thurgauer Gewerbeverband (TGV): Vorstand, Mitglied;

Genossenschaft Pressverein Frauenfeld, Frauenfeld: Vorstand, Mitglied;

AWG Thurgau, Tägerwilen: Vorstand, Mitglied; 

Gebra AG, Kreuzlingen: Verwaltungsrat, Mitglied","01.01.2025 -"
"383","Stähelin","Beda","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderat, Mitglied;

Die Mitte Stadt Frauenfeld: Vorstand, Präsident; 

Die Mitte Bezirk Frauenfeld: Vorstand, Mitglied","01.01.2025 -"
