"doc_title","doc_link","geschaeftstitel","geschaeftsnummer"
"Beantwortung an Abo","https://archivportal.tg.ch/","Antrag Dr. Karl Hostettler gemäss § 46 der Geschäftsordnung des Grossen Rates betreffend Neuordnung des Finanzausgleichs","92/AN 7/286"
"Beschluss","https://archivportal.tg.ch/","Antrag Dr. Karl Hostettler gemäss § 46 der Geschäftsordnung des Grossen Rates betreffend Neuordnung des Finanzausgleichs","92/AN 7/286"
"I: Eintreten, 1. Lesung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"II: Eintreten","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: Fortsetzung 1. Lesung (1)","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: Fortsetzung 1. Lesung (2)","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"II: 1. Lesung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: 2. Lesung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: Fortsetzung 2. Lesung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"II: 2. Lesung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: Redaktionslesung/Schlussst.","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"II: Redaktionslesung/Schluss","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"I: endgültige Fassung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"II: endgültige Fassung","https://archivportal.tg.ch/","Justizreform 1. TeilpaketTeilbotschaft I: Änderung Gesetz über Organisation Zivilrechtspflege, Betreibungs- und Konkurswesen (Gerichtsorganisation) vom 6.7.88, Gesetz über Zivilrechtspflege (Zivilprozessordnung) vom 6.7.88, Gesetz über Strafrechtspflege (Strafprozessordnung) vom 30.6.70/5.11.91, Gesetz über Verwaltungsrechtspflege vom 23.2.81;Teilbotschaft II: Änderung Verordnung des Grossen Rates über Gebühren der Srafuntersuchungs- und Gerichtsbehörden vom 13.5.92","92/GE 25/301"
"Begründung","https://archivportal.tg.ch/","Motion Hansjörg Walter betreffend Standesinitiative zur Landwirtschaftspolitik","92/MO 24/308"
"Beantwortung","https://archivportal.tg.ch/","Motion Hansjörg Walter betreffend Standesinitiative zur Landwirtschaftspolitik","92/MO 24/308"
"Beschluss","https://archivportal.tg.ch/","Motion Hansjörg Walter betreffend Standesinitiative zur Landwirtschaftspolitik","92/MO 24/308"
"Begründung","https://archivportal.tg.ch/","Motion Guido Cornella betreffend Flexibilisierung des Stufenanstieges und der Leistungszuschläge","92/MO 25/309"
"Beantwortung","https://archivportal.tg.ch/","Motion Guido Cornella betreffend Flexibilisierung des Stufenanstieges und der Leistungszuschläge","92/MO 25/309"
"Beschluss (Rückzug)","https://archivportal.tg.ch/","Motion Guido Cornella betreffend Flexibilisierung des Stufenanstieges und der Leistungszuschläge","92/MO 25/309"
"Eintreten, 1. Lesung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über das Gesundheitswesen (Gesundheitsgesetz) vom 5. Juni 1985 (Regelung der Patientenrechte)","92/GE 26/310"
"2. Lesung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über das Gesundheitswesen (Gesundheitsgesetz) vom 5. Juni 1985 (Regelung der Patientenrechte)","92/GE 26/310"
"Redaktionslesung/Schlussabst.","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über das Gesundheitswesen (Gesundheitsgesetz) vom 5. Juni 1985 (Regelung der Patientenrechte)","92/GE 26/310"
"endgültige Fassung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über das Gesundheitswesen (Gesundheitsgesetz) vom 5. Juni 1985 (Regelung der Patientenrechte)","92/GE 26/310"
"Beantwortung","https://archivportal.tg.ch/","Motion Elma Lorenz-Engeler betreffend \"nachhaltiges Wirtschaften\" der Thurgauer Elektrizitätswerke","92/MO 26/311"
"Begründung","https://archivportal.tg.ch/","Motion Elma Lorenz-Engeler betreffend \"nachhaltiges Wirtschaften\" der Thurgauer Elektrizitätswerke","92/MO 26/311"
"Beschluss (Rückzug)","https://archivportal.tg.ch/","Motion Elma Lorenz-Engeler betreffend \"nachhaltiges Wirtschaften\" der Thurgauer Elektrizitätswerke","92/MO 26/311"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Dr. Hansjörg Lang betreffend Spitalliste des Kantons Thurgau vom 1.1.1996","92/IN 54/312"
"Behandlung","https://archivportal.tg.ch/","Interpellation Dr. Hansjörg Lang betreffend Spitalliste des Kantons Thurgau vom 1.1.1996","92/IN 54/312"
"Begründung","https://archivportal.tg.ch/","Motion Hans Hugentobler betreffend Familienzulagen gemäss § 23 der Besoldungsverordnung","92/MO 29/317"
"Beantwortung","https://archivportal.tg.ch/","Motion Hans Hugentobler betreffend Familienzulagen gemäss § 23 der Besoldungsverordnung","92/MO 29/317"
"Beschluss (Rückzug)","https://archivportal.tg.ch/","Motion Hans Hugentobler betreffend Familienzulagen gemäss § 23 der Besoldungsverordnung","92/MO 29/317"
"Kenntnisnahme","https://archivportal.tg.ch/","Versorgungsauftrag für das thurgauische Gesundheitswesen","92/BS 72/318"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Dorothe Glauser betreffend Stationsgelderregelung im Spitexbereich bei der Ausbildung von Pflegepersonal","92/IN 55/321"
"Behandlung","https://archivportal.tg.ch/","Interpellation Dorothe Glauser betreffend Stationsgelderregelung im Spitexbereich bei der Ausbildung von Pflegepersonal","92/IN 55/321"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Hans-Jürg Schmid betreffend Risikokapital für Jungunternehmer und für innovative Produkte","92/IN 56/322"
"Behandlung","https://archivportal.tg.ch/","Interpellation Hans-Jürg Schmid betreffend Risikokapital für Jungunternehmer und für innovative Produkte","92/IN 56/322"
"Eintreten","https://archivportal.tg.ch/","Gesetz über das öffentliche Beschaffungswesen","92/GE 27/324"
"Forts.Eintreten,1.Lesung","https://archivportal.tg.ch/","Gesetz über das öffentliche Beschaffungswesen","92/GE 27/324"
"2. Lesung","https://archivportal.tg.ch/","Gesetz über das öffentliche Beschaffungswesen","92/GE 27/324"
"Redaktionslesung/Schlussabst.","https://archivportal.tg.ch/","Gesetz über das öffentliche Beschaffungswesen","92/GE 27/324"
"endgültige Fassung","https://archivportal.tg.ch/","Gesetz über das öffentliche Beschaffungswesen","92/GE 27/324"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Hans-Jürg Schmid betreffend Einbezug der Mitglieder der vorberatenden Kommission zur Vernehmlassung von Verordnungen","92/IN 57/325"
"Behandlung","https://archivportal.tg.ch/","Interpellation Hans-Jürg Schmid betreffend Einbezug der Mitglieder der vorberatenden Kommission zur Vernehmlassung von Verordnungen","92/IN 57/325"
"Beschluss","https://archivportal.tg.ch/","Beschluss über die Erhöhung des Bestandes der Kantonspolizei auf 300 Mitarbeiterinnen und Mitarbeiter","92/BS 73/328"
"Beschluss","https://archivportal.tg.ch/","Geschäftsbericht und Rechnung 1995 der Thurgauer Gebäudeversicherung","92/BS 74/329"
"Beschluss","https://archivportal.tg.ch/","Geschäftsbericht und Rechnung 1994/95 des Elektrizitätswerkes des Kantons Thurgau","92/BS 75/330"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Dieter Meile betreffend kostendeckende Beiträge an die Universität Zürich","92/IN 59/332"
"Behandlung","https://archivportal.tg.ch/","Interpellation Dieter Meile betreffend kostendeckende Beiträge an die Universität Zürich","92/IN 59/332"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Christian Tapfer betreffend Rangierbahnhof Romanshorn","92/IN 60/333"
"Behandlung","https://archivportal.tg.ch/","Interpellation Christian Tapfer betreffend Rangierbahnhof Romanshorn","92/IN 60/333"
"Eintreten, 1. Lesung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über Massnahmen gegen die Arbeitslosigkeit vom 28. November 1988","92/GE 28/335"
"2. Lesung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über Massnahmen gegen die Arbeitslosigkeit vom 28. November 1988","92/GE 28/335"
"Redaktionslesung, Schlussabst.","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über Massnahmen gegen die Arbeitslosigkeit vom 28. November 1988","92/GE 28/335"
"endgültige Fassung","https://archivportal.tg.ch/","Gesetz betreffend die Änderung des Gesetzes über Massnahmen gegen die Arbeitslosigkeit vom 28. November 1988","92/GE 28/335"
"Detailberatung","https://archivportal.tg.ch/","Rechenschaftsbericht 1995 des Regierungsrates","92/BS 77/336"
"Beschluss","https://archivportal.tg.ch/","Rechenschaftsbericht 1995 des Regierungsrates","92/BS 77/336"
"Beschluss","https://archivportal.tg.ch/","Geschäftsbericht und Rechnung 1995 der Thurgauer Kantonalbank","92/BS 78/337"
"Eintreten,Gültigkeit,1.Lesung","https://archivportal.tg.ch/","Thurgauische Volksinitiative \"zur Förderung von Wohneigentum und Selbstvorsorge\"","92/VI 1/342"
"Eintr.Gegenvorschl.,Forts.1.Le","https://archivportal.tg.ch/","Thurgauische Volksinitiative \"zur Förderung von Wohneigentum und Selbstvorsorge\"","92/VI 1/342"
"2. Lesung","https://archivportal.tg.ch/","Thurgauische Volksinitiative \"zur Förderung von Wohneigentum und Selbstvorsorge\"","92/VI 1/342"
"Redaktionslesung/Schlussabst.","https://archivportal.tg.ch/","Thurgauische Volksinitiative \"zur Förderung von Wohneigentum und Selbstvorsorge\"","92/VI 1/342"
"endgültige Fassung","https://archivportal.tg.ch/","Thurgauische Volksinitiative \"zur Förderung von Wohneigentum und Selbstvorsorge\"","92/VI 1/342"
"Begründung","https://archivportal.tg.ch/","Motion Guido Leutenegger betreffend Erhaltung und Neuschaffung von Arbeitsplätzen, insbesondere im Tiefbaugewerbe und in der Landwirtschaft","92/MO 30/344"
"Beantwortung","https://archivportal.tg.ch/","Motion Guido Leutenegger betreffend Erhaltung und Neuschaffung von Arbeitsplätzen, insbesondere im Tiefbaugewerbe und in der Landwirtschaft","92/MO 30/344"
"Beschluss","https://archivportal.tg.ch/","Motion Guido Leutenegger betreffend Erhaltung und Neuschaffung von Arbeitsplätzen, insbesondere im Tiefbaugewerbe und in der Landwirtschaft","92/MO 30/344"
"Beschluss","https://archivportal.tg.ch/","Gesuche um Bildung einer Politischen Gemeinde Zihlschlacht-Sitterdorf und um Erweiterung der Einheitsgemeinde Amriswil","92/BS 81/347"
"Beschluss","https://archivportal.tg.ch/","Staatsrechnung 1995","92/BS 82/348"
"Beschluss","https://archivportal.tg.ch/","Rechenschaftsbericht 1995 des Verwaltungsgerichtes","92/BS 83/349"
"Beschluss","https://archivportal.tg.ch/","Rechenschaftsbericht 1995 des Obergerichtes","92/BS 84/350"
"Beantwortung","https://archivportal.tg.ch/","Interpellation Ernst Kunz betreffend Lage auf dem Lehrstellenmarkt im Kanton Thurgau","92/IN 62/351"
"Behandlung","https://archivportal.tg.ch/","Interpellation Ernst Kunz betreffend Lage auf dem Lehrstellenmarkt im Kanton Thurgau","92/IN 62/351"
"Begründung","https://archivportal.tg.ch/","Motion Marc T. Haltiner betreffend Standesinitiative zur Änderung des Finanzierungsschlüssels beim Nationalstrassenbau, -unterhalt und -betrieb","92/MO 31/353"
"Beantwortung","https://archivportal.tg.ch/","Motion Marc T. Haltiner betreffend Standesinitiative zur Änderung des Finanzierungsschlüssels beim Nationalstrassenbau, -unterhalt und -betrieb","92/MO 31/353"
"Beschluss","https://archivportal.tg.ch/","Motion Marc T. Haltiner betreffend Standesinitiative zur Änderung des Finanzierungsschlüssels beim Nationalstrassenbau, -unterhalt und -betrieb","92/MO 31/353"
"Wortlaut/Begründung v. 5.6.96","https://archivportal.tg.ch/","Interpellation Dr. Claudius Graf-Schelling betreffend Steuerreform '99","96/IN 1/1"
"Beantwortung vom 17.9.96","https://archivportal.tg.ch/","Interpellation Dr. Claudius Graf-Schelling betreffend Steuerreform '99","96/IN 1/1"
