"doc_title","doc_link","geschaeftstitel","geschaeftsnummer"
"Entwurf Regierungsrat Teil 6 (Polizeigesetz) (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=76f7e05b85164eedaf414a09ce7e84f9-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 6 (Polizeigesetz) (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=93603f2983834f8dbf71466579cd870d-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Entwurf Regierungsrat Teil 7 (VGG) (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=a1491ea885904ca0b2c31bf8adcbd6d6-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 7 (VGG) (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=d28f5f179eed46d9bf7144bac0c2847d-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Kommissionsbericht vom 13.01.2021 (16/GE 27/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=145b2cd5e53748dd8c59affc0a02caf1-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 1 (VRG) (16/GE 28/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=69674b0962f7436687a643ea43445233-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 1 (VRG) Entwurf RR und Fassung Kommission (16/GE 28/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6570e3566a3f442ab91ecf99f9660c76-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 1 (VRG) geltendes Recht und Fassung Kommission (16/GE 28/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=72fe4356e0e44112adf79188c93dabb6-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 2 (Verantwortlichkeitsgesetz) (16/GE 29/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=0d3f51b3cf544e85ae8be73b3e158daf-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 2 (Verantwortlichkeitsgesetz) geltendes Recht und Fassung Kommission (16/GE 29/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=1f662ed541fd4fa284f146cca71aa625-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 3 (Anwaltsgesetz) (16/GE 30/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=cff7648a3ada462b98284299d4295b72-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 3 (Anwaltsgesetz) Entwurf RR und Fassung Kommission (16/GE 30/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=2297e1be792942548fdfb1be53def8ed-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 3 (Anwaltsgesetz) geltendes Recht und Fassung Kommission (16/GE 30/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=a261959ccca748ca8d798a6311c28ab7-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 4 (ZSRG) (16/GE 31/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6d94c8d8d8b342508618794e588327f3-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 4 (ZSRG) Entwurf RR und Fassung Kommission (16/GE 31/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=5e2a53cde44c4d7a8a5cfcba7743b6be-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 4 (ZSRG) geltendes Recht und Fassung Kommission (16/GE 31/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=30f5428c704242e8b7367f3f714db609-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 5 EG StGB (16/GE 32/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=e68c43de31474b69930c258ae74a50d8-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 5 (EG StGB) Entwurf RR und Fassung Kommission (16/GE 32/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=f3f4052d79314b7382e806b84e7a590c-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 5 (EG StGB) geltendes Recht und Fassung Kommission (16/GE 32/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b8a9f7d0b2114802ae11d011ed5e9a37-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 6 (Polizeigesetz) (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=0722b7ca976a4cc191f78df0db1dffac-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 6 (Polizeigesetz) geltendes Recht und Fassung Kommission (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=59fa540c76c841758e8b1eebbd905e3a-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Fassung Kommission Teil 7 (VGG) (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=ef5c891ba15644748458ebbe4eb510bf-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 7 (VGG) Entwurf RR und Fassung Kommission (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=0345c015509e4c9fa10ff85b2400151e-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Synopse Teil 7 (VGG) geltendes Recht und Fassung Kommission (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c6be0f56370643b4b664dc1f17752b8f-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Gemeinsames Eintreten vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=e5ad4456846043b1907d879e32639dee-332&v=1&r=PDF&typ=pdf","Überprüfung der Justizorganisation","16/GE 27/459"
"Entwurf Regierungsrat (VRG) (16/GE 28/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=12355ac1e3e14ffd96390c0f157fedbc-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Synopse (VRG) (16/GE 28/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=443b83c12aca41d18b5eaed0d86d89d9-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=bec8a1df9b384d638e1511bbfcde189c-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Fassung nach 1. Lesung (VRG)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6b081fd84c814adbace7658473b37a46-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=daf7df8255994417a07b8444f6a472fb-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Fassung nach 2. Lesung VRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=de7e6dfc447a446caedd6185b44a96db-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Redaktionsfassung VRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=5b69d30286744ae9bc5ebd3dea1b6c2e-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c85bdd87a79f4e5eb96a006f462bbbc6-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Schlussfassung VRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=9c891204c69e4650b5a01dc56fc1e6e9-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verwaltungsrechtspflege (VRG)","16/GE 28/459"
"Synopse (Verantwortlichkeitsgesetz) (16/GE 29/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c3ae4bb0a8bc4197b0d9482f53fd4914-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Entwurf Regierungsrat (Verantwortlichkeitsgesetz) (16/GE 29/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=21261025134044dba24e3c4535d12607-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=224cd9a4641a4f87b620df27f78abbdb-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Fassung nach 1. Lesung (Verantwortlichkeitsgesetz)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6486e4f6879f46ae82c40082037f9f7c-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=64bd5b7d864449c9a99bb9d9bc6c114d-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Fassung nach 2. Lesung Verantwortlichkeitsgesetz","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6fa693b2cb28403ca89e1c8ce065750f-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Redaktionsfassung Verantwortlichkeitsgesetz","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=e15d7246bae84bc2bd4be4e33eccd8ad-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6799308bc5b347d29200686bd2e7afba-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Schlussfassung Verantwortlichkeitsgesetz","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=d66bc79b56214544bc22b4ad21b5ab6a-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Verantwortlichkeit (Verantwortlichkeitsgesetz)","16/GE 29/459"
"Synopse (Anwaltsgesetz) (16/GE 30/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=d0a067551e6b4fdca403bf129fd75712-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Entwurf Regierungsrat (Anwaltsgesetz) (16/GE 30/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=3250238fe15342ab94b6460a14c8bfca-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=39cc72c96d424dd6841cf863cab9e2c0-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Fassung nach 1. Lesung (Anwaltsgesetz)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=ec62c664658341ec92422490247fd035-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=28650fc92be840ccb97c1ea7bcaead37-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Fassung nach 2. Lesung AnwG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=4ceea674e2c8483f9a241841a725b13c-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Redaktionsfassung AnwG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=6dac89730d854e8dabd64d0f96dc6233-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Schlussfassung Anwaltsgesetz","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=0b8e4cce55c94042ad52a04296d94371-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=16a505702bba47ca90349e37cbdfc4e4-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Anwaltsgesetzes","16/GE 30/459"
"Synopse (ZSRG) (16/GE 31/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=a22c6042c7b440cfb6c4473ec3baf99b-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Entwurf Regierungsrat (ZSRG) (16/GE 31/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=95f0df52f14d4291a147550911a9e031-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b9715937ac474f9badaa7c058c2be152-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Fassung nach 1. Lesung (ZSRG)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=663863473d664d7a8ea64e2f75709297-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=f4ca9dbceaee49b6a7e51b4b64ac33a7-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Fassung nach 2. Lesung ZSRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=a2dab776861f4175bffff10bacf0cc26-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Redaktionsfassung ZSRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=8d89b69c2c884fd2b6f5f07ae716af4b-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=06199905d2e24c359e33337425c945ab-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Schlussfassung ZSRG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=75fdbe96631b4a09a08766abc3188f85-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG)","16/GE 31/459"
"Synopse (EG StGB) (16/GE 32/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b4238d436cb14ff5970f297ccdb44c55-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Entwurf Regierungsrat (EG StGB) (16/GE 32/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=23946df64a9c45bf9c8ec2a1137335f6-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=f7599c97891941b9b0abf9313d3b1dae-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Fassung nach 1. Lesung (EG_StGB)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=ddcdeb9611af4da184f35a6401c138a3-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=2ca736a937a8486298afbf3eb07a50c6-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Fassung nach 2. Lesung EG StGB","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=2d459f11fb834218a2ab6861d9965039-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Redaktionsfassung EG StGB","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=bf0d42f8abb043e5b8256ba1c1a0ebb0-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=1fd8a3d9df15499bbd9891ccc534412f-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Schlussfassung EG_StGB","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=5feb5e7365124072ae8566521dd81a3f-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizerischen Strafrecht (EG StGB)","16/GE 32/459"
"Synopse (PolG) (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=312b0937fe5743689e88e55de22df9bd-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Entwurf Regierungsrat (PolG) (16/GE 33/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=24eacc804b6f4bb095510d3a7dcbe75d-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=45baba1b17e74929a50d1e9ad85811fb-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Fassung nach 1. Lesung (PolG)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=975494df37554b5ab3d612b4069d7b35-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=05f0278c9ff24773b2d6341859c829ee-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Fassung nach 2. Lesung PolG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=62700d66579f4a9cad3e530b3118f8e4-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Redaktionsfassung PolG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c91ebb2f004a4ae8965356d84b074e3a-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=3a47a076082d47a594d6672ffb83e3ed-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Schlussfassung PolG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b5ced5a32b4845c286a445779b25f63b-332&v=1&r=PDF&typ=pdf","Gesetz betreffend die Änderung des Polizeigesetzes (PolG)","16/GE 33/459"
"Synopse (VGG) (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=08bc0dc6610448ec9d66fb4d195703d4-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Entwurf Regierungsrat (VGG) (16/VO 4/459)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=d96e5530080b483a97c76018b1b6892f-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"1. Lesung vom 17.02.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=42e0e7788e0c43d8b7f7c197c92cbd55-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Fassung nach 1. Lesung (VGG)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=0fa8d00de0bd4ab9a41629e2c6d25c98-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"2. Lesung vom 10.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c9e890984cd246e6b6a45f5485eba0cd-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Fassung nach 2. Lesung VGG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=8e5e08da0d8c49e18d871d22368a5bed-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Redaktionsfassung VGG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=97e295e008874adfb542664086f77e21-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Redaktionslesung, Schlussabstimmung vom 24.03.2021","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=c4f3f27f07ee42f99f6e884ef968bebf-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Schlussfassung VGG","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=1d9ed2f2756e443680829d889238e597-332&v=1&r=PDF&typ=pdf","Verordnung betreffend die Änderung der Verordnung des Grossen Rates über die Gebühren der Strafverfolgungs- und Gerichtsbehörden (VGG)","16/VO 4/459"
"Wortlaut vom 18.12.2019 (16/EA 150/460)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=7c25e44fa103401089166951ec9e0b5e-332&v=1&r=PDF&typ=pdf","Einfache Anfrage von Hanspeter Heeb vom 18. Dezember 2019 \"Schweigeklausel bei Entlassung und Öffentlichkeitsprinzip\"","16/EA 150/460"
"Beantwortung vom 11.02.2020 (16/EA 150/460)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b4b6bd53cdc9479a821ec2af0f09dfba-332&v=1&r=PDF&typ=pdf","Einfache Anfrage von Hanspeter Heeb vom 18. Dezember 2019 \"Schweigeklausel bei Entlassung und Öffentlichkeitsprinzip\"","16/EA 150/460"
"Wortlaut/Begründung vom 18.12.2019 (16/MO 45/461)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=fe7899c691974f6794ba8a6afafa4bcc-332&v=1&r=PDF&typ=pdf","Motion von Pascal Schmid und Isabelle Altwegg vom 18. Dezember 2019 \"Portofrei abstimmen und wählen - Stimmbeteiligung erhöhen und Rechtsunsicherheiten beseitigen\"","16/MO 45/461"
"Beantwortung vom 03.11.2020 (16/MO 45/461)","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=bb70ac36de534b788927d50be4f16dd0-332&v=1&r=PDF&typ=pdf","Motion von Pascal Schmid und Isabelle Altwegg vom 18. Dezember 2019 \"Portofrei abstimmen und wählen - Stimmbeteiligung erhöhen und Rechtsunsicherheiten beseitigen\"","16/MO 45/461"
"Beantwortung, Diskussion, Beschlussfassung vom 02.12.2020","https://parlament.tg.ch/de/geschaefte/dok_geschaeft.php?did=b071d88c70a445cab2712957cf2dfe83-332&v=1&r=PDF&typ=pdf","Motion von Pascal Schmid und Isabelle Altwegg vom 18. Dezember 2019 \"Portofrei abstimmen und wählen - Stimmbeteiligung erhöhen und Rechtsunsicherheiten beseitigen\"","16/MO 45/461"
